Ano,Cargo,Mulheres Eleitas,Homens Eleitos
1998,DEPUTADO DISTRITAL,4,20
1998,DEPUTADO ESTADUAL,102,933
1998,DEPUTADO FEDERAL,29,484
1998,GOVERNADOR,1,26
1998,PRESIDENTE,0,1
1998,SENADOR,2,25
2002,DEPUTADO DISTRITAL,5,19
2002,DEPUTADO ESTADUAL,129,906
2002,DEPUTADO FEDERAL,42,471
2002,GOVERNADOR,2,25
2002,PRESIDENTE,0,1
2002,SENADOR,8,46
2006,DEPUTADO DISTRITAL,3,21
2006,DEPUTADO ESTADUAL,121,914
2006,DEPUTADO FEDERAL,45,468
2006,GOVERNADOR,3,24
2006,PRESIDENTE,0,1
2006,SENADOR,4,23
2010,DEPUTADO DISTRITAL,4,20
2010,DEPUTADO ESTADUAL,134,901
2010,DEPUTADO FEDERAL,45,468
2010,GOVERNADOR,2,25
2010,PRESIDENTE,1,0
2010,SENADOR,7,47
2014,DEPUTADO DISTRITAL,5,19
2014,DEPUTADO ESTADUAL,114,921
2014,DEPUTADO FEDERAL,51,462
2014,GOVERNADOR,1,27
2014,PRESIDENTE,1,0
2014,SENADOR,5,22
2018,DEPUTADO DISTRITAL,3,21
2018,DEPUTADO ESTADUAL,160,875
2018,DEPUTADO FEDERAL,77,436
2018,GOVERNADOR,1,26
2018,PRESIDENTE,0,1
2018,SENADOR,7,47
